Anúncio	Nome da despesa	Ano_mês_ref	Valor despesa	Reserva
Andorinhas	IPTU	2022/11	R$ 227,18
Andorinhas	Energia elétrica	2022/11	R$ 50,17
Andorinhas	Condomínio	2022/11	R$ 639,20
Andorinhas	Limpeza	2022/11	R$ 170,00
Andorinhas	Taxa ADM	2022/11	R$ 42,82
Andorinhas	Limpeza	2022/11	R$ 170,00
Andorinhas	Taxa ADM	2022/11	R$ 174,38
Andorinhas	Limpeza	2022/11	R$ 170,00
Andorinhas	Taxa ADM	2022/11	R$ 162,37
Andorinhas	Manutenção/Reforma	2022/12	R$ 300,00
Andorinhas	Internet Claro	2022/12	R$ 125,99
Andorinhas	Energia elétrica	2022/12	R$ 161,20
Andorinhas	Condomínio	2022/12	R$ 639,20
Andorinhas	IPTU	2022/12	R$ 227,18
Andorinhas	Limpeza	2022/12	R$ 170,00
Andorinhas	Taxa ADM	2022/12	R$ 175,83
Andorinhas	Limpeza	2022/12	R$ 180,00
Andorinhas	Taxa ADM	2022/12	R$ 529,75
Andorinhas	Internet Claro	2023/01	R$ 0,00
Andorinhas	Energia elétrica	2023/01	R$ 161,28
Andorinhas	Condomínio	2023/01	R$ 639,20
Andorinhas	IPTU	2023/01	R$ 227,30
Andorinhas	Limpeza	2023/01	R$ 170,00
Andorinhas	Taxa ADM	2023/01	R$ 219,44
Andorinhas	Limpeza	2023/01	R$ 170,00
Andorinhas	Taxa ADM	2023/01	R$ 116,96
Andorinhas	Limpeza	2023/01	R$ 170,00
Andorinhas	Taxa ADM	2023/01	R$ 138,76
Andorinhas	Limpeza	2023/01	R$ 170,00
Andorinhas	Taxa ADM	2023/01	R$ 130,04
Andorinhas	Limpeza	2023/01	R$ 170,00
Andorinhas	Taxa ADM	2023/01	R$ 153,30
Andorinhas	IPTU	2023/02	R$ 227,18
Andorinhas	Condomínio	2023/02	R$ 711,12
Andorinhas	Energia elétrica	2023/02	R$ 126,58
Andorinhas	Internet Claro	2023/02	R$ 99,99
Andorinhas	Limpeza	2023/02	R$ 170,00	QN04H
Andorinhas	Taxa ADM	2023/02	R$ 322,52	QN04H
Andorinhas	IPTU	2023/03	R$ 227,18
Andorinhas	Condomínio	2023/03	R$ 671,18
Andorinhas	Energia elétrica	2023/03	R$ 113,79
Andorinhas	Internet Claro	2023/03	R$ 99,99
Andorinhas	Limpeza	2023/03	R$ 170,00	RV08H
Andorinhas	Taxa ADM	2023/03	R$ 70,89	RV08H
Andorinhas	IPTU	2023/04	R$ 227,18
Andorinhas	Condomínio	2023/04	R$ 671,18
Andorinhas	Energia elétrica	2023/04	R$ 71,72
Andorinhas	Internet Claro	2023/04	R$ 99,99
Andorinhas	Limpeza	2023/04	R$ 170,00	SQ13H
Andorinhas	Taxa ADM	2023/04	R$ 61,00	SQ13H
Andorinhas	Limpeza	2023/04	R$ 170,00	SW02H
Andorinhas	Taxa ADM	2023/04	R$ 109,07	SW02H
Andorinhas	Limpeza	2023/04	R$ 170,00	TF07H
Andorinhas	Taxa ADM	2023/04	R$ 71,40	TF07H
Andorinhas	IPTU	2023/05	R$ 227,18
Andorinhas	Condomínio	2023/05	R$ 671,18
Andorinhas	Energia elétrica	2023/05	R$ 0,00
Andorinhas	Internet Claro	2023/05	R$ 99,99
Andorinhas	IPTU	2023/06	R$ 227,18
Andorinhas	Condomínio	2023/06	R$ 671,18
Andorinhas	Energia elétrica	2023/06	R$ 147,82
Andorinhas	Internet Claro	2023/06	R$ 99,99
Andorinhas	Limpeza	2023/06	R$ 170,00	UU08H
Andorinhas	Taxa ADM	2023/06	R$ 54,13	UU08H
Andorinhas	IPTU	2023/07	R$ 227,18
Andorinhas	Condomínio	2023/07	R$ 671,18
Andorinhas	Energia elétrica	2023/07	R$ 0,00
Andorinhas	Internet Claro	2023/07	R$ 99,99
Andorinhas	Limpeza	2023/07	R$ 170,00	VW12H
Andorinhas	Taxa ADM	2023/07	R$ 52,65	VW12H
Andorinhas	Limpeza	2023/07	R$ 170,00	WL09H
Andorinhas	Taxa ADM	2023/07	R$ 81,80	WL09H
Andorinhas	IPTU	2023/08	R$ 227,18
Andorinhas	Condomínio	2023/08	R$ 671,18
Andorinhas	Energia elétrica	2023/08	R$ 106,05
Andorinhas	Internet Claro	2023/08	R$ 99,99
Andorinhas	Limpeza	2023/08	R$ 170,00	XG05H
Andorinhas	Taxa ADM	2023/08	R$ 84,06	XG05H
Andorinhas	IPTU	2023/09	R$ 227,18
Andorinhas	Limpeza	2023/09	R$ 170,00	YF36H
Andorinhas	Taxa ADM	2023/09	R$ 129,74	YF36H
Andorinhas	Limpeza	2023/09	R$ 170,00	YO12H
Andorinhas	Taxa ADM	2023/09	R$ 59,41	YO12H
Andorinhas	Limpeza	2023/09	R$ 170,00	YV07H
Andorinhas	Taxa ADM	2023/09	R$ 47,20	YV07H
Andorinhas	Limpeza	2023/09	R$ 170,00	ZC10H
Andorinhas	Taxa ADM	2023/09	R$ 76,88	ZC10H
Andorinhas	Condomínio	2023/09	R$ 671,18
Andorinhas	Energia elétrica	2023/09	R$ 0,00
Andorinhas	Internet Claro	2023/09	R$ 99,99
Andorinhas	Limpeza	2023/10	R$ 170,00	ZJ23H
Andorinhas	Taxa ADM	2023/10	R$ 54,13	ZJ23H
